date,sentiment,trend
2021-01-04,0.0,0
2021-01-04,0.7783,1
2021-01-04,0.6808,1
2021-01-04,0.9552,1
2021-01-04,0.5267,1
2021-01-04,0.2023,1
2021-01-04,-0.3182,0
2021-01-04,0.3892,1
2021-01-04,0.4019,1
2021-01-04,0.0,0
2021-01-04,-0.3182,0
2021-01-04,0.0,0
2021-01-04,-0.3182,0
2021-01-04,0.2732,1
2021-01-04,0.4588,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,-0.2732,0
2021-01-04,0.2732,1
2021-01-04,0.0,0
2021-01-04,0.4939,1
2021-01-04,-0.7845,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.3182,1
2021-01-04,0.0,0
2021-01-04,0.4404,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.5719,1
2021-01-04,0.3612,1
2021-01-04,0.0296,0
2021-01-04,0.0,0
2021-01-04,0.2263,1
2021-01-04,0.0,0
2021-01-04,0.2263,1
2021-01-04,0.0,0
2021-01-04,0.5859,1
2021-01-04,0.0,0
2021-01-04,0.6808,1
2021-01-04,-0.7783,0
2021-01-04,0.5719,1
2021-01-04,0.4215,1
2021-01-04,0.3612,1
2021-01-04,-0.128,0
2021-01-04,0.0,0
2021-01-04,-0.4939,0
2021-01-04,0.0,0
2021-01-04,0.6808,1
2021-01-04,0.0,0
2021-01-04,0.4535,1
2021-01-04,0.4215,1
2021-01-04,0.0,0
2021-01-04,0.1531,1
2021-01-04,-0.4019,0
2021-01-04,0.0,0
2021-01-04,0.6249,1
2021-01-04,0.0,0
2021-01-04,0.5267,1
2021-01-04,-0.128,0
2021-01-04,-0.296,0
2021-01-04,-0.5106,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.3612,1
2021-01-04,-0.128,0
2021-01-04,-0.3612,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.4767,1
2021-01-04,-0.296,0
2021-01-04,0.0,0
2021-01-04,0.6908,1
2021-01-04,0.7717,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.3612,1
2021-01-04,0.765,1
2021-01-04,0.25,1
2021-01-04,-0.3197,0
2021-01-04,-0.2732,0
2021-01-04,0.0,0
2021-01-04,-0.2732,0
2021-01-04,-0.228,0
2021-01-04,0.2732,1
2021-01-04,-0.5719,0
2021-01-04,0.8402,1
2021-01-04,0.7964,1
2021-01-04,0.7184,1
2021-01-04,-0.4019,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.296,1
2021-01-04,0.1531,1
2021-01-04,0.4939,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0772,1
2021-01-04,0.4215,1
2021-01-04,0.4215,1
2021-01-04,0.3182,1
2021-01-04,0.4215,1
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.0,0
2021-01-04,0.7906,1
2021-01-04,0.0,0
